# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
43,2029,1.428924,2.138278,2.244987
43,2029,0.963923,0.770025,1.247053
43,2029,1.612649,2.711502,1.785132
44,2034,0.995595,1.480579,1.248007
44,2026,1.238527,1.576952,1.468745
44,2026,0.850454,0.700412,0.685064
45,2032,0.885561,0.922061,0.919869
45,2024,1.167817,2.429096,1.279501
45,2024,0.829802,0.691266,0.863437
46,2062,1.282764,1.275629,1.218727
46,2058,1.277436,1.256923,0.910548
22,1009,1.369581,0.498142,0.576067
25,1107,0.683423,0.885381,1.147875
25,1103,0.565168,0.586421,0.787316
24,1043,0.612437,0.800545,1.177441
30,1234,0.546584,0.488879,0.933062
24,1040,0.470834,0.367624,0.443054
25,1065,0.586969,0.677079,0.680281
25,1062,0.594123,0.676467,1.817659
25,1062,0.512593,1.210558,0.696266
26,1035,0.418861,0.411834,0.630088
32,1227,0.926775,0.882479,1.003541
32,1227,0.778447,0.709202,0.558679
30,1159,0.536587,0.487786,0.688398
30,1156,2.102767,0.840278,0.896453
27,1056,0.479383,0.392251,0.582646
28,1083,0.732997,0.827012,1.153161
31,1178,0.793093,0.782823,1.117772
31,1178,0.630329,0.465035,0.476011
29,1093,0.476053,0.556736,0.861496
35,1284,1.713782,1.439557,0.922083
35,1284,0.535715,0.492646,0.581608
35,1284,0.739954,0.793193,0.802937
30,1098,0.514534,0.477464,0.746810
30,1095,0.900379,1.800154,1.767735
33,1195,1.285927,0.713247,1.831109
34,1240,0.763045,0.808529,1.192800
34,1234,1.241584,1.275900,1.060519
31,1133,0.913789,0.725692,1.167575
31,1133,0.686103,0.762570,1.051881
35,1261,0.564682,0.497591,0.846934
35,1256,2.738707,0.600473,0.698801
35,1256,0.644368,0.556325,0.777797
36,1304,0.922549,1.933211,1.427181
39,1399,0.953900,0.919424,1.287064
39,1397,1.937506,0.851552,1.016554
39,1397,0.897132,0.893837,1.110552
40,1401,0.684070,0.693870,1.073873
40,1393,1.602761,1.182603,1.533387
40,1393,2.202261,0.526627,0.892955
41,1444,3.537483,1.551599,1.301550
41,1445,1.031707,1.030191,1.656369
41,1445,0.951364,0.969657,1.466486
41,1445,1.101919,0.897331,1.263986
38,1351,0.617056,0.701516,1.078961
38,1351,1.136921,0.806066,1.176854
41,1445,0.665083,0.531653,0.735443
42,1472,0.889214,0.916692,1.851572
36,1271,0.921618,0.943273,1.482319
36,1271,0.654000,0.841573,1.474733
36,1271,0.863594,0.888144,1.831972
36,1271,1.016231,0.893190,1.213278
37,1288,0.817469,0.974172,2.255569
37,1283,3.943791,0.940583,1.133208
37,1282,1.298925,0.879892,1.305966
37,1282,0.766411,0.772096,1.319521
38,1348,3.009063,2.588963,1.561841
38,1337,1.178820,0.981165,1.625770
44,1531,0.727530,0.572222,1.004600
45,1589,1.129201,1.170120,2.099984
45,1577,0.911720,0.763354,1.257405
45,1577,4.323539,1.325475,1.482403
46,1631,0.901005,1.053369,2.516926
46,1616,0.781013,0.758427,0.996649
46,1615,0.776751,0.674441,0.896557
47,1672,0.717707,0.729229,1.652203
47,1655,1.148973,1.177022,1.296710
47,1655,0.765416,0.662035,0.833717
48,1679,1.044023,1.265975,1.776551
48,1678,1.432522,1.785417,1.977153
49,1728,0.791928,0.752539,1.324344
49,1724,0.805967,0.893087,1.198582
49,1724,1.242815,1.593637,1.338068
50,1772,2.170388,1.296840,1.443975
50,1772,0.874394,0.835071,2.688233
45,1653,1.293835,1.008997,3.315748
51,1833,1.354404,1.541553,2.133628
51,1832,0.940052,1.196032,0.831467
52,1869,1.381031,1.636264,0.950721
52,1868,0.885495,0.713254,0.852368
52,1868,0.844659,0.699634,0.705858
53,1866,2.087114,1.194072,1.170200
47,1672,0.748066,0.628447,0.922569
53,1866,0.919538,0.726202,0.699907
54,1869,1.166476,1.176208,0.813887
54,1868,1.088392,0.892193,1.405334
31,1357,0.956486,1.189190,1.784258
32,1356,0.708557,0.898177,0.996020
35,1317,0.518371,0.536590,0.526664
36,1329,0.854530,0.958569,0.966794
36,1329,0.585280,0.507035,0.578986
34,1405,0.751862,0.976717,1.231069
31,1399,0.516543,0.493940,0.760347
31,1399,0.513145,0.490517,0.575546
33,1420,1.819029,0.907104,1.036113
33,1420,0.518346,0.433329,0.640086
38,1448,0.740900,0.961424,1.112885
30,1301,0.606343,0.685637,0.980087
35,1491,2.258488,3.837980,1.242508
34,1489,0.749766,0.766145,0.813085
35,1566,0.931453,2.052244,1.869229
42,1569,1.166680,1.809987,1.015337
36,1601,0.738888,2.175238,0.869595
36,1593,1.736677,0.635870,0.750125
22,872,0.787121,3.083561,1.023231
22,871,0.358217,0.410212,0.623247
23,897,0.571625,0.490340,0.762111
23,897,0.813203,1.339012,0.670044
39,1634,0.638138,0.787888,0.772780
24,945,0.664875,0.762638,1.312833
25,966,0.742954,1.364488,0.922433
25,967,2.163460,0.674251,1.055407
21,855,0.694280,1.120635,0.607354
26,955,0.558797,0.676197,0.928467
26,953,0.471779,0.442544,0.882396
23,1308,0.446159,0.596158,0.875788
27,1007,0.903092,1.475252,1.672024
23,895,0.380241,0.385825,0.529339
24,921,0.542634,0.742688,0.909222
24,921,0.381508,0.358782,0.502992
25,928,1.376250,0.537844,0.700785
25,927,0.427374,0.370053,0.434390
26,970,1.085205,0.808809,3.032226
26,970,0.410686,0.394563,0.426194
26,970,0.401877,0.357574,0.293908
27,962,0.597311,0.636610,0.673370
27,962,1.082559,0.797014,0.702011
27,962,0.435603,0.371667,0.367747
28,952,0.490246,0.378597,0.461329
28,951,0.515806,0.958481,0.721771
28,951,0.435104,0.280182,0.395287
29,980,0.401485,0.360334,0.587427
29,980,0.801563,0.907779,0.742216
29,980,0.968629,0.701965,0.636848
29,980,0.409207,0.369843,0.436974
29,980,0.656999,0.588564,0.569221
29,980,0.427571,0.357504,0.361472
30,974,0.665172,0.419626,0.521689
30,974,0.641767,0.453513,0.602824
30,974,0.443619,0.368544,0.415981
31,1006,0.624417,0.642275,0.772857
31,1006,0.493246,0.670260,0.828231
30,966,0.453591,0.405507,0.488021
30,966,2.103226,0.474475,0.595069
31,1001,0.637424,0.784553,1.039715
31,1000,0.641655,0.598529,0.833684
32,1040,0.444261,0.374576,0.636164
32,1040,0.677450,0.650401,0.740640
